region,country,drug_group,drug_sub_group,seizure_reference_year,seizure_volume,legal_category,recreational_year,medical_year,decriminalized_max_possession,offence_type,total_crime_cases,crime_count_gender_ratio,total_treatments,patient_gender_ratio,gdp,health_expenditure,population,gdp_per_capita,border_length_km,coastline_length_km
Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),Non-specified amphetamine-type stimulants,2018,452.0,ILL,,,,Offences related to drug trafficking,10035.0,0.01579107197084725,6850.0,-1.0,194554000000.0,5.93238592,42505035.0,4577.198913022892,6734,998
Africa,Algeria,Amphetamine-type stimulants (excluding “ecstasy”),Non-specified amphetamine-type stimulants,2018,452.0,ILL,,,,Offences related to drug use and/or drug possession,41368.0,0.008827976393698483,6850.0,-1.0,194554000000.0,5.93238592,42505035.0,4577.198913022892,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2018,1.0,ILL,,,,Offences related to drug trafficking,10035.0,0.01579107197084725,6505.0,-1.0,194554000000.0,5.93238592,42505035.0,4577.198913022892,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2018,1.0,ILL,,,,Offences related to drug use and/or drug possession,41368.0,0.008827976393698483,6505.0,-1.0,194554000000.0,5.93238592,42505035.0,4577.198913022892,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2019,8.0,ILL,,,,Offences related to drug trafficking,9753.0,0.01710293044113046,4990.0,-1.0,193460000000.0,5.41731071,43294546.0,4468.461223730121,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2019,8.0,ILL,,,,Offences related to drug use and/or drug possession,39409.0,0.012512203894969426,4990.0,-1.0,193460000000.0,5.41731071,43294546.0,4468.461223730121,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2020,16.496,ILL,,,,Other drug-related offences,47.0,-1.0,5102.0,-1.0,164873000000.0,5.63831711,44042091.0,3743.53252210482,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2020,16.496,ILL,,,,Offences related to drug trafficking,22728.0,0.015912748077954585,5102.0,-1.0,164873000000.0,5.63831711,44042091.0,3743.53252210482,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2020,16.496,ILL,,,,Offences related to drug use and/or drug possession,41546.0,0.008055515116222644,5102.0,-1.0,164873000000.0,5.63831711,44042091.0,3743.53252210482,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2021,8.66,ILL,,,,Other drug-related offences,54.0,-1.0,6053.0,-1.0,186231000000.0,5.0110569,44761099.0,4160.554681644434,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2021,8.66,ILL,,,,Offences related to drug trafficking,27790.0,0.012349276893373647,6053.0,-1.0,186231000000.0,5.0110569,44761099.0,4160.554681644434,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2021,8.66,ILL,,,,Offences related to drug use and/or drug possession,45695.0,0.007274330430948969,6053.0,-1.0,186231000000.0,5.0110569,44761099.0,4160.554681644434,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2022,5.250109999999999,ILL,,,,Other drug-related offences,53.0,-1.0,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2022,5.250109999999999,ILL,,,,Offences related to drug trafficking,34969.0,0.015271608164213338,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis herb (marijuana),2022,5.250109999999999,ILL,,,,Offences related to drug use and/or drug possession,77990.0,0.00697224015493867,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis oil,2022,0.005,ILL,,,,Other drug-related offences,53.0,-1.0,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis oil,2022,0.005,ILL,,,,Offences related to drug trafficking,34969.0,0.015271608164213338,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis oil,2022,0.005,ILL,,,,Offences related to drug use and/or drug possession,77990.0,0.00697224015493867,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2018,116.0,ILL,,,,Offences related to drug trafficking,10035.0,0.01579107197084725,6505.0,-1.0,194554000000.0,5.93238592,42505035.0,4577.198913022892,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2018,116.0,ILL,,,,Offences related to drug use and/or drug possession,41368.0,0.008827976393698483,6505.0,-1.0,194554000000.0,5.93238592,42505035.0,4577.198913022892,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2019,158.0,ILL,,,,Offences related to drug trafficking,9753.0,0.01710293044113046,4990.0,-1.0,193460000000.0,5.41731071,43294546.0,4468.461223730121,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2019,158.0,ILL,,,,Offences related to drug use and/or drug possession,39409.0,0.012512203894969426,4990.0,-1.0,193460000000.0,5.41731071,43294546.0,4468.461223730121,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2020,741.0,ILL,,,,Other drug-related offences,47.0,-1.0,5102.0,-1.0,164873000000.0,5.63831711,44042091.0,3743.53252210482,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2020,741.0,ILL,,,,Offences related to drug trafficking,22728.0,0.015912748077954585,5102.0,-1.0,164873000000.0,5.63831711,44042091.0,3743.53252210482,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2020,741.0,ILL,,,,Offences related to drug use and/or drug possession,41546.0,0.008055515116222644,5102.0,-1.0,164873000000.0,5.63831711,44042091.0,3743.53252210482,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2021,42.9,ILL,,,,Other drug-related offences,54.0,-1.0,6053.0,-1.0,186231000000.0,5.0110569,44761099.0,4160.554681644434,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2021,42.9,ILL,,,,Offences related to drug trafficking,27790.0,0.012349276893373647,6053.0,-1.0,186231000000.0,5.0110569,44761099.0,4160.554681644434,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2021,42.9,ILL,,,,Offences related to drug use and/or drug possession,45695.0,0.007274330430948969,6053.0,-1.0,186231000000.0,5.0110569,44761099.0,4160.554681644434,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2022,248.5,ILL,,,,Other drug-related offences,53.0,-1.0,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2022,248.5,ILL,,,,Offences related to drug trafficking,34969.0,0.015271608164213338,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis plants,2022,248.5,ILL,,,,Offences related to drug use and/or drug possession,77990.0,0.00697224015493867,8891.0,-1.0,225638000000.0,3.6230433,45477389.0,4961.542537105637,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),2018,31936.0,ILL,,,,Offences related to drug trafficking,10035.0,0.01579107197084725,6505.0,-1.0,194554000000.0,5.93238592,42505035.0,4577.198913022892,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),2018,31936.0,ILL,,,,Offences related to drug use and/or drug possession,41368.0,0.008827976393698483,6505.0,-1.0,194554000000.0,5.93238592,42505035.0,4577.198913022892,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),2019,55133.0,ILL,,,,Offences related to drug trafficking,9753.0,0.01710293044113046,4990.0,-1.0,193460000000.0,5.41731071,43294546.0,4468.461223730121,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),2019,55133.0,ILL,,,,Offences related to drug use and/or drug possession,39409.0,0.012512203894969426,4990.0,-1.0,193460000000.0,5.41731071,43294546.0,4468.461223730121,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),2020,88702.581,ILL,,,,Other drug-related offences,47.0,-1.0,5102.0,-1.0,164873000000.0,5.63831711,44042091.0,3743.53252210482,6734,998
Africa,Algeria,Cannabis-type drugs (excluding synthetic cannabinoids),Cannabis resin (hashish),2020,88702.581,ILL,,,,Offences related to drug trafficking,22728.0,0.015912748077954585,5102.0,-1.0,164873000000.0,5.63831711,44042091.0,3743.53252210482,6734,998
